Product Name,1 Kg,500 g,250 g,100 g,50 g,25 g,Category
HUDSON VALLEY HH,10500,5250,2625,1075,550,280,
HUDSON VALLEY HL,11250,5625,2813,1150,588,300,
HUGO BOSS,6250,3125,1563,650,338,175,
HUGO MEN,7000,3500,1750,725,375,195,
ICEBERG,3750,1875,938,400,213,110,
IDYELLE,12000,6000,3000,1225,625,320,
IGNITE OUD HD,10500,5250,2625,1075,550,280,
IMAGINATION HH,9250,4625,2313,950,488,250,
IMAGINATION HL,11250,5625,2813,1150,588,300,
IMITATION,9250,4625,2313,950,488,250,
IMPERIAL VALLEY HH,8000,4000,2000,825,425,220,
IMPERIAL VALLEY HL,11250,5625,2813,1150,588,300,
INFINITY,8000,4000,2000,825,425,220,
INSTANT CRUSH,12000,6000,3000,1225,625,320,
INTOXICATED HG,12000,6000,3000,1225,625,320,
INVICTUS,4000,2000,1000,425,225,120,
INVICTUS AQUA,4250,2125,1063,450,238,125,
INVICTUS LEGEND,10500,5250,2625,1075,550,280,
INVICTUS SF,5250,2625,1313,550,288,150,
INVICTUS VICTORY ELIXIR,10500,5250,2625,1075,550,280,
IRRESISTIBLE,6500,3250,1625,675,350,180,
ISSEY MIYAKE,6000,3000,1500,625,325,170,
ISSEY NUIT,9250,4625,2313,950,488,250,
JADORE,5750,2875,1438,600,313,160,
JAGUAR BLACK,5000,2500,1250,525,275,145,
JANNATE ZUHOOR,13250,6625,3313,1350,688,350,
JANNATUL FIRDAUS,6000,3000,1500,625,325,170,
JANNATUL FIRDAUS S,8000,4000,2000,825,425,220,
JANNATUL FIRDAUS SUPER,16000,8000,4000,1625,825,420,
JASMINE ABSOLUTE,5000,2500,1250,525,275,145,
JASMINE SF,1750,875,438,200,113,60,
JAZEERA,12000,6000,3000,1225,625,320,
JAZZ ROLL ON,6500,3250,1625,675,350,180,
JUBILATION,12000,6000,3000,1225,625,320,
JUHI,4000,2000,1000,425,225,120,
KAAF,21250,10625,5313,2150,1088,550,
KAAF HD,9250,4625,2313,950,488,250,
KALIMAT,12000,6000,3000,1225,625,320,
KALIMAT OUD,20000,10000,5000,2025,1025,520,
KASHMIRI GULAB,4500,2250,1125,475,250,130,
KASHMIRI OUD SF,10500,5250,2625,1075,550,280,
KASHMIRI OUDH STR,16000,8000,4000,1625,825,420,
KASTURI MUSK,4750,2375,1188,500,263,135,
KAYALI CITRUS,12000,6000,3000,1225,625,320,
KHALIS MUSK,11500,5750,2875,1175,600,305,
KHALLAB,24000,12000,6000,2425,1225,620,
KHAMRAH,10500,5250,2625,1075,550,280,
KHAMRAH HF,11500,5750,2875,1175,600,305,
KHAMRAH HH,7250,3625,1813,750,388,200,
KHAMRAH QAHWA,12000,6000,3000,1225,625,320,
KHUS NATURAL,106500,53250,26625,10675,5350,2680,
KHUS NO.2,86500,43250,21625,8675,4350,2180,
KHUS SYN,46500,23250,11625,4675,2350,1180,
KHUS SYN 2,10500,5250,2625,1075,550,280,
KUFOOQ,13250,6625,3313,1350,688,350,
KUWAITI OUD,24000,12000,6000,2425,1225,620,
KUWAITI OUD N,21250,10625,5313,2150,1088,550,
KUWAITI OUD STR,26500,13250,6625,2675,1350,680,
L HOMME IDEAL,13250,6625,3313,1350,688,350,
LA PETITE ROBE NOIR,16000,8000,4000,1625,825,420,
LABBAIK,5500,2750,1375,575,300,155,
LACOSTE WHITE,4500,2250,1125,475,250,130,
LACOSTE WHITE BLANC,8500,4250,2125,875,450,230,
LACOSTE WHITE HI,5750,2875,1438,600,313,160,
LACOSTE WHITE HI,4250,2125,1063,450,238,125,
LADY MILLION,6500,3250,1625,675,350,180,
LANCOME IDOL,8000,4000,2000,825,425,220,
LAUDER PRECIOUS,10500,5250,2625,1075,550,280,
LAVISH MUSK,10500,5250,2625,1075,550,280,
LAYTON,8000,4000,2000,825,425,220,
LAYTON EXCLUSIF,12000,6000,3000,1225,625,320,
LE LABO SANTAL 33 HI,6500,3250,1625,675,350,180,
LE LABO SANTAL33,20000,10000,5000,2025,1025,520,
LE MALE ELIXIR,8000,4000,2000,825,425,220,
LE MALE ELIXIR HI,4750,2375,1188,500,263,135,
LILY OF THE VALLEY,7250,3625,1813,750,388,200,
LIME BASIL MANDARIN,6500,3250,1625,675,350,180,
LIRA CASAMORATI,10500,5250,2625,1075,550,280,
LOMANI BLUE,5500,2750,1375,575,300,155,
LOST CHERRY,6250,3125,1563,650,338,175,
LOST CHERRY,5750,2875,1438,600,313,160,
LOTUS,3500,1750,875,375,200,105,
LOVELY HI,3000,1500,750,325,175,95,
LOVELY STRONG,4250,2125,1063,450,238,125,
LOVESPELL,4500,2250,1125,475,250,130,
