Product Name,1 Kg,500 g,250 g,100 g,50 g,25 g,Category
KASHMIRI OUD SF,10500,5250,2625,1075,550,280,Arabian
KASHMIRI OUDH STR,16000,8000,4000,1625,825,420,Arabian
KASTURI MUSK,4750,2375,1188,500,263,135,Designer
KAYALI CITRUS,12000,6000,3000,1225,625,320,Designer
KHALIS MUSK,11500,5750,2875,1175,600,305,Designer
KHALLAB,24000,12000,6000,2425,1225,620,Designer
KHAMRAH,10500,5250,2625,1075,550,280,Designer
KHAMRAH HF,11500,5750,2875,1175,600,305,Designer
KHAMRAH HH,7250,3625,1813,750,388,200,Designer
KHAMRAH QAHWA,12000,6000,3000,1225,625,320,Designer
KHUS NATURAL,106500,53250,26625,10675,5350,2680,Indian
KHUS NO.2,86500,43250,21625,8675,4350,2180,Indian
KHUS SYN,46500,23250,11625,4675,2350,1180,Indian
KHUS SYN 2,10500,5250,2625,1075,550,280,Indian
KUFOOQ,13250,6625,3313,1350,688,350,Designer
KUWAITI OUD,24000,12000,6000,2425,1225,620,Arabian
KUWAITI OUD N,21250,10625,5313,2150,1088,550,Arabian
KUWAITI OUD STR,26500,13250,6625,2675,1350,680,Arabian
L HOMME IDEAL,13250,6625,3313,1350,688,350,Designer
LA PETITE ROBE NOIR,16000,8000,4000,1625,825,420,Designer
LABBAIK,5500,2750,1375,575,300,155,Designer
LACOSTE WHITE,4500,2250,1125,475,250,130,Designer
LACOSTE WHITE BLANC,8500,4250,2125,875,450,230,Designer
LACOSTE WHITE HI,5750,2875,1438,600,313,160,Designer
LACOSTE WHITE HI,4250,2125,1063,450,238,125,Designer
LADY MILLION,6500,3250,1625,675,350,180,Designer
LANCOME IDOL,8000,4000,2000,825,425,220,Designer
LAUDER PRECIOUS,10500,5250,2625,1075,550,280,Designer
LAVISH MUSK,10500,5250,2625,1075,550,280,Designer
LAYTON,8000,4000,2000,825,425,220,Designer
LAYTON EXCLUSIF,12000,6000,3000,1225,625,320,Designer
LE LABO SANTAL 33 HI,6500,3250,1625,675,350,180,Designer
LE LABO SANTAL33,20000,10000,5000,2025,1025,520,Designer
LE MALE ELIXIR,8000,4000,2000,825,425,220,Designer
LE MALE ELIXIR HI,4750,2375,1188,500,263,135,Designer
LILY OF THE VALLEY,7250,3625,1813,750,388,200,Designer
LIME BASIL MANDARIN,6500,3250,1625,675,350,180,Designer
LIRA CASAMORATI,10500,5250,2625,1075,550,280,Designer
LOMANI BLUE,5500,2750,1375,575,300,155,Designer
LOST CHERRY,6250,3125,1563,650,338,175,Designer
LOST CHERRY,5750,2875,1438,600,313,160,Designer
LOTUS,3500,1750,875,375,200,105,Designer
LOVELY HI,3000,1500,750,325,175,95,Designer
LOVELY STRONG,4250,2125,1063,450,238,125,Designer
LOVESPELL,4500,2250,1125,475,250,130,Designer
MADAWI,11250,5625,2813,1150,588,300,Designer
MADINA,5500,2750,1375,575,300,155,Designer
MAFAAZ,8000,4000,2000,825,425,220,Designer
MAGNET,5250,2625,1313,550,288,150,Designer
MAHIR GOLD,13000,6500,3250,1325,675,345,Designer
MAJESTIC OUD,10500,5250,2625,1075,550,280,Arabian
MAJMUA HG,18500,9250,4625,1875,950,480,Indian
MAJMUA HH,16000,8000,4000,1625,825,420,Indian
MALIK AL ARAB,16000,8000,4000,1625,825,420,Designer
MALIK OUD,35000,17500,8750,3525,1775,895,Arabian
MANNAT,16000,8000,4000,1625,825,420,Designer
MARJ HD,16000,8000,4000,1625,825,420,Designer
MARJ HE,29250,14625,7313,2950,1488,750,Designer
MARJ HH,10500,5250,2625,1075,550,280,Designer
MASTERPIECE,53250,26625,13313,5350,2688,1350,Designer
MEGAMARE HI,6500,3250,1625,675,350,180,Designer
MI 2,8000,4000,2000,825,425,220,Designer
MILLION DOLLAR,6500,3250,1625,675,350,180,Designer
MISS BLOOMING BOUQUET,6500,3250,1625,675,350,180,Designer
MIXFRUIT,5000,2500,1250,525,275,145,Designer
MIZYAN,12000,6000,3000,1225,625,320,Designer
MIZYAN HM,17250,8625,4313,1750,888,450,Designer
MIZYAN SUPER,16000,8000,4000,1625,825,420,Designer
MOGRA33,2000,1000,500,225,125,70,Designer
MONTBLANC LEGEND,4000,2000,1000,425,225,120,Designer
MONTBLANC LEGEND STR,6500,3250,1625,675,350,180,Designer
MOON SPARKLE,3500,1750,875,375,200,105,Designer
MUKAMMAL,16000,8000,4000,1625,825,420,Designer
MUKHALLAT AL-BADAR,32000,16000,8000,3225,1625,820,Designer
MUKHALLAT AL-HARAM,40000,20000,10000,4025,2025,1020,Designer
MUKHALLAT ASJAD,5250,2625,1313,550,288,150,Designer
MUKHALLAT BADAR,8000,4000,2000,825,425,220,Designer
